 'ticks','ns time'
403, 235088722
404, 235708597
405, 236197389
406, 236762972
407, 237269765
408, 237788097
409, 238308763
410, 238860095
411, 239458804
412, 239998180
413, 240534640
414, 241085973
415, 241579558
416, 242089018
417, 242582392
418, 243094600
419, 243641975
420, 244197600
421, 244743309
422, 245278184
423, 245817851
424, 246372767
425, 246939060
426, 247463601
428, 248632432
429, 249235557
430, 249787641
431, 250383766
432, 250905766
433, 251531349
434, 252051515
435, 252577390
436, 253188265
437, 253768223
438, 254257639
439, 254772055
440, 255350138
441, 255975887
442, 256468473
443, 257066139
444, 257628847
445, 258187554
446, 258824137
447, 259380970
448, 260068219
449, 260623635
450, 261235592
451, 261743466
452, 262379383
453, 262924093
454, 263466636
455, 263995719
456, 264570925
457, 265071717
458, 265617261
459, 266142803
460, 266681594
461, 267189927
462, 267728302
463, 268229301
464, 268744634
465, 269231216
466, 269778090
467, 270354006
469, 271556132
470, 272092464
471, 272591588
472, 273059629
473, 273601920
474, 274193128
475, 274741877
476, 275405419
477, 275974252
478, 276532919
479, 277070709
480, 277703876
481, 278253669
482, 278796794
483, 279369962
484, 279896421
485, 280440462
486, 280961127
487, 281508709
488, 282027834
489, 282567960
490, 283080835
491, 283616754
492, 284115337
493, 284647880
494, 285140544
495, 285661419
496, 286145751
497, 286803334
498, 287449916
499, 288145958
500, 288643041
501, 289187500
502, 289817833
503, 290375708
504, 291002750
505, 291588500
506, 292112334
507, 292671960
508, 293218002
510, 294425960
511, 295006708
512, 295553375
513, 296079001
514, 296623044
515, 297147835
516, 297695751
517, 298220752
518, 298757168
519, 299269334
520, 299938210
521, 300419877
522, 300938001
523, 301417919
524, 302050670
525, 302594836
526, 303134960
527, 303631501
528, 304053000
529, 304586124
530, 305224959
531, 305756334
532, 306357126
533, 306960625
534, 307614500
535, 308185458
536, 308795334
537, 309338167
538, 309879834
539, 310428001
540, 310954126
541, 311503045
542, 312118795
543, 312675588
544, 313281090
545, 313830630
546, 314512296
547, 315135171
548, 315719838
549, 316233546
551, 317451252
552, 318141712
553, 318663627
554, 319160336
555, 319661335
556, 320304334
557, 320813543
558, 321431541
559, 322363165
560, 323020167
561, 323600209
562, 324154791
563, 324734458
564, 325353292
565, 325872459
566, 326411209
567, 326944501
568, 327483667
569, 327972627
570, 328514710
571, 329035541
572, 329514166
573, 329996041
574, 330747460
575, 331215918
576, 331747001
577, 332234877
578, 332759958
579, 333281875
580, 333896375
581, 334397375
582, 334970667
583, 335520293
584, 336078791
585, 336712790
586, 337269373
587, 337816039
588, 338472415
589, 339021999
590, 339575834
592, 340764417
593, 341370666
594, 341908709
595, 342448084
596, 342988125
597, 343560128
598, 344083253
599, 344606462
600, 345194253
601, 345728962
602, 346262295
603, 346798963
604, 347317588
605, 347868544
606, 348367501
607, 348867502
608, 349430420
609, 349922546
610, 350455211
611, 351101712
612, 351638336
613, 352137669
614, 352659586
615, 353192545
616, 353715795
617, 354264044
618, 354811710
619, 355436085
620, 355994001
621, 356551042
622, 357128750
623, 357686459
624, 358224582
625, 358755416
626, 359305498
627, 359836082
